Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
2024-02-01,Y03571,NHS ENGLAND MIDLANDS ,CORBY URGENT CARE CENTRE,0,0,8366,0,0,612,0,0,90,0,0,0,0,0,0,0,0,0
2024-02-01,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5270,0,0,251,0,0,1023,0,0,1,0,0,0,0,0,0
2024-02-01,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,3804,0,1666,20,0,29,1756,0,0,10,0,0,222,86,973,0,0,271
2024-02-01,RAP,NHS ENGLAND LONDON,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,8011,415,6973,86,0,148,4613,2,1275,44,0,27,263,788,1568,0,0,135
2024-02-01,RAX,NHS ENGLAND LONDON,KINGSTON HOSPITAL NHS FOUNDATION TRUST,6980,0,7530,0,0,0,3545,0,231,0,0,0,323,388,1830,0,105,655
2024-02-01,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6130,0,1068,26,0,0,2785,0,0,11,0,0,371,125,2698,0,0,546
2024-02-01,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,7952,0,0,0,0,0,3401,0,0,0,0,0,863,4,2678,0,0,560
2024-02-01,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6228,0,1499,118,0,0,2941,0,0,48,0,0,620,262,1638,0,0,470
2024-02-01,RGT,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9810,0,5807,621,0,522,5672,0,111,304,0,33,716,711,2628,0,19,462
2024-02-01,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,7744,0,340,15,0,0,1858,0,0,0,0,0,290,18,2085,0,0,736
2024-02-01,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,6577,0,1543,0,0,0,2281,0,28,0,0,0,587,267,958,0,0,22
2024-02-01,RM1,NHS ENGLAND EAST OF ENGLAND ,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10898,0,8870,372,0,1,4029,0,2,85,0,0,776,325,2324,0,0,1744
2024-02-01,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,9494,0,11096,0,0,0,2918,0,9,0,0,0,41,0,4622,0,57,1514
2024-02-01,RWD,NHS ENGLAND MIDLANDS ,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,9846,0,9097,3,0,0,6873,0,1736,2,0,0,877,1120,4121,0,0,1087
2024-02-01,RWH,NHS ENGLAND EAST OF ENGLAND ,EAST AND NORTH HERTFORDSHIRE NHS TRUST,8896,0,6436,0,0,361,4872,0,13,0,0,0,180,108,2821,0,59,276
2024-02-01,RWX,NHS ENGLAND SOUTH EAST ,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1347,0,0,0,0,0,8,0,0,0,0,0,0,0,29,0
2024-02-01,RYJ,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,11485,3651,6655,0,0,342,4660,24,486,0,0,0,517,77,3685,0,0,1112
2024-02-01,RBV,NHS ENGLAND NORTH WEST ,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682
2024-02-01,RET,NHS ENGLAND NORTH WEST ,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
2024-02-01,RMP,NHS ENGLAND NORTH WEST ,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,7626,0,2808,393,0,211,4102,0,0,0,0,0,505,214,2521,0,0,571
2024-02-01,RN3,NHS ENGLAND SOUTH WEST ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5275,0,5423,0,0,182,2603,0,536,0,0,6,467,69,2423,0,0,1659
2024-02-01,RM3,NHS ENGLAND NORTH WEST ,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,23660,0,7005,0,0,0,11185,0,310,0,0,0,1199,1050,6704,0,351,1461
2024-02-01,RX1,NHS ENGLAND MIDLANDS ,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,14754,1889,304,527,0,0,8481,312,16,323,0,0,689,588,3604,0,0,3816
2024-02-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,455,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2024-02-01,NQT51,NHS ENGLAND SOUTH EAST ,STATION PLAZA HEALTH CENTRE,0,0,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01,RBL,NHS ENGLAND NORTH WEST ,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,7285,0,2980,99,0,169,3724,0,132,33,0,9,574,741,2015,0,0,1690
2024-02-01,RMC,NHS ENGLAND NORTH WEST ,BOLTON NHS FOUNDATION TRUST,7619,0,3036,27,0,17,4493,0,656,21,0,2,416,701,2033,0,149,668
2024-02-01,RVV,NHS ENGLAND SOUTH EAST ,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,12580,0,11935,0,0,0,6902,0,259,0,0,0,492,1111,3336,0,460,1015
2024-02-01,RBN,NHS ENGLAND NORTH WEST ,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,17234,0,7189,382,0,0,7534,0,634,75,0,0,435,431,7110,0,0,586
2024-02-01,RH5,NHS ENGLAND SOUTH WEST ,SOMERSET NHS FOUNDATION TRUST,12203,0,8789,0,0,0,4983,0,430,0,0,0,467,38,3089,0,0,2015
2024-02-01,RHW,NHS ENGLAND SOUTH EAST ,ROYAL BERKSHIRE NHS FOUNDATION TRUST,11277,2302,0,837,0,0,4609,28,0,0,0,0,694,9,2461,2,0,735
2024-02-01,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,13330,0,11407,33,0,0,7699,0,1961,11,0,0,1004,860,3375,0,0,1280
2024-02-01,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8184,0,2994,801,0,0,2626,0,0,93,0,0,530,680,2355,0,0,757
2024-02-01,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3571,0,0,175,0,0,18,0,0,0,0,0,0,0,0,0
2024-02-01,RAL,NHS ENGLAND LONDON,ROYAL FREE LONDON NHS FOUNDATION TRUST,17814,0,7872,0,0,0,8179,0,241,0,0,0,968,749,3707,0,0,548
2024-02-01,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,21684,639,8386,0,0,0,9591,0,107,0,0,0,2188,166,6169,0,0,300
2024-02-01,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,7888,0,6352,313,0,1187,2921,0,1317,75,0,0,326,797,2139,0,0,1088
2024-02-01,NLX,NHS ENGLAND SOUTH WEST ,SIRONA CARE & HEALTH,0,0,7368,0,0,226,0,0,389,0,0,43,0,0,0,0,0,0
2024-02-01,RVR,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,12035,314,0,354,0,0,3140,0,0,45,0,0,252,694,1969,2,0,107
2024-02-01,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5782,0,2615,338,0,5,3073,0,20,154,0,0,321,101,1946,0,0,1210
2024-02-01,G0Q0L,NHS ENGLAND LONDON,BARKING HOSPITAL UTC,0,0,2551,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
2024-02-01,K6K0R,NHS ENGLAND LONDON,HAROLD WOOD POLYCLINIC UTC,0,0,2719,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
2024-01-01,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,816,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
2024-01-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2574,0,0,7,0,0,21,0,0,0,0,0,0,0,0,0
2024-01-01,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,2057,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0
2024-01-01,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,59
2024-01-01,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8134,0,10516,195,0,154,3636,0,57,61,0,0,211,395,2513,0,0,1559
2024-01-01,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,10055,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
2024-01-01,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,7050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,2179,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,ACH01,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,4424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,4325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2351,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0
2024-01-01,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2604,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0
2024-01-01,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,12200,1213,5939,475,0,1281,6213,15,262,241,0,68,979,44,4570,14,0,1353
2024-01-01,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220
2024-01-01,RGT,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10028,0,5201,784,0,487,5793,0,122,367,0,30,726,700,2915,0,22,506
2024-01-01,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,12263,0,0,567,0,0,3614,0,0,0,0,0,378,136,1356,0,0,287
2024-01-01,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE TEACHING NHS TRUST,16613,0,5953,124,0,82,7190,0,511,10,0,2,2403,660,3438,0,156,967
2024-01-01,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,10053,1207,3366,2,0,0,4315,0,145,1,0,0,255,538,4173,831,0,1125
